epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,130.708,0.55402,0.37487,0.92827,0.99918,1,0.995,0.88493,0.43838,0.30848,0.8614,0.00110314,0.00110314,0.00110314
43,133.784,0.52499,0.37076,0.92422,0.99607,1,0.995,0.88511,0.39648,0.28572,0.85156,0.00108938,0.00108938,0.00108938
44,137.376,0.50783,0.35835,0.90818,0.99923,0.97959,0.99361,0.88024,0.4126,0.31717,0.86566,0.00107563,0.00107563,0.00107563
45,140.979,0.54591,0.36851,0.92511,0.9986,0.97959,0.99423,0.90431,0.39558,0.29046,0.85917,0.00106188,0.00106188,0.00106188
46,144.429,0.54028,0.37157,0.93034,0.99901,0.9898,0.99461,0.89519,0.42241,0.28251,0.87861,0.00104813,0.00104813,0.00104813
47,147.759,0.50638,0.34462,0.90526,0.98987,0.99734,0.9949,0.91499,0.38415,0.26946,0.85688,0.00103437,0.00103437,0.00103437
48,151.022,0.50121,0.36222,0.92116,1,0.9989,0.995,0.88849,0.41502,0.29184,0.866,0.00102062,0.00102062,0.00102062
49,154.26,0.49267,0.34521,0.90578,0.99834,0.9898,0.99101,0.9025,0.39187,0.31189,0.85793,0.00100687,0.00100687,0.00100687
50,157.602,0.52085,0.363,0.91669,0.99788,0.9898,0.99383,0.90029,0.4013,0.29672,0.85637,0.000993115,0.000993115,0.000993115
51,160.735,0.50973,0.34798,0.91302,0.99782,1,0.995,0.90047,0.40591,0.27586,0.85239,0.000979362,0.000979362,0.000979362
52,163.859,0.53832,0.36268,0.91391,0.99866,0.9898,0.99451,0.89854,0.37917,0.25841,0.84595,0.00096561,0.00096561,0.00096561
53,166.928,0.5113,0.36385,0.92577,1,0.98578,0.9949,0.90126,0.39189,0.27307,0.86011,0.000951857,0.000951857,0.000951857
54,170.131,0.50109,0.34012,0.92428,1,0.99922,0.995,0.8986,0.40852,0.26935,0.86218,0.000938104,0.000938104,0.000938104
55,173.387,0.49905,0.34244,0.91361,0.99821,0.97959,0.9947,0.90407,0.37806,0.25321,0.85252,0.000924352,0.000924352,0.000924352
56,176.814,0.48794,0.33757,0.9075,0.99967,0.9898,0.9948,0.90261,0.38837,0.26347,0.85276,0.000910599,0.000910599,0.000910599
57,180.478,0.48593,0.34204,0.90869,0.99949,0.9898,0.99461,0.90429,0.41807,0.26344,0.85947,0.000896846,0.000896846,0.000896846
58,184.015,0.50764,0.33415,0.9023,0.98747,0.9898,0.9947,0.90449,0.3707,0.26559,0.84502,0.000883093,0.000883093,0.000883093
59,187.311,0.46924,0.32496,0.90141,0.98712,0.97959,0.99119,0.90823,0.36463,0.27318,0.85007,0.00086934,0.00086934,0.00086934
60,191.215,0.4837,0.3236,0.88879,0.99961,1,0.995,0.91986,0.38574,0.25026,0.84683,0.000855588,0.000855588,0.000855588
61,194.947,0.47729,0.32934,0.91622,0.98988,0.99845,0.9949,0.9229,0.36387,0.24105,0.85103,0.000841835,0.000841835,0.000841835
62,198.218,0.47324,0.31883,0.91101,0.99835,0.9898,0.9948,0.92159,0.34902,0.23512,0.83666,0.000828082,0.000828082,0.000828082
63,201.461,0.48304,0.31593,0.90063,0.99713,0.9898,0.9949,0.91234,0.38687,0.24514,0.84484,0.000814329,0.000814329,0.000814329
64,204.774,0.46871,0.31808,0.90045,1,0.98951,0.9949,0.91635,0.36264,0.24705,0.84348,0.000800577,0.000800577,0.000800577
65,207.885,0.49306,0.33527,0.91452,0.98987,0.99725,0.9949,0.91501,0.38015,0.24758,0.8425,0.000786824,0.000786824,0.000786824
66,211.028,0.46388,0.31162,0.88934,0.98939,0.9898,0.9945,0.92453,0.35843,0.23501,0.83986,0.000773071,0.000773071,0.000773071
67,214.214,0.45153,0.31398,0.89922,0.98986,0.99644,0.9949,0.92968,0.3544,0.24196,0.84232,0.000759318,0.000759318,0.000759318
68,217.548,0.48074,0.32404,0.91497,1,0.98844,0.9947,0.92152,0.35441,0.24898,0.85095,0.000745566,0.000745566,0.000745566
69,220.829,0.47564,0.30428,0.90352,0.98851,1,0.9949,0.92192,0.35405,0.25418,0.84301,0.000731813,0.000731813,0.000731813
70,224.093,0.4408,0.30861,0.87773,1,0.99746,0.995,0.92565,0.35121,0.24027,0.83512,0.00071806,0.00071806,0.00071806
71,227.581,0.45081,0.30324,0.91878,0.99983,1,0.995,0.9249,0.34593,0.23551,0.84155,0.000704307,0.000704307,0.000704307
72,230.957,0.44126,0.29912,0.88724,1,0.98739,0.9948,0.91075,0.35997,0.22304,0.838,0.000690555,0.000690555,0.000690555
73,234.385,0.44711,0.30213,0.90242,0.99473,0.9898,0.99433,0.91235,0.37096,0.24028,0.84576,0.000676802,0.000676802,0.000676802
