epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,131.211,0.51385,0.36938,0.91916,0.98553,0.99153,0.99343,0.84453,0.498,0.33933,0.91925,0.000990365,0.000990365,0.000990365
43,134.572,0.52099,0.36839,0.91701,0.97306,0.97203,0.98521,0.85811,0.38433,0.3223,0.88328,0.000973861,0.000973861,0.000973861
44,138.006,0.50515,0.36582,0.90314,0.99241,0.9744,0.9941,0.85836,0.36636,0.30045,0.87052,0.000957358,0.000957358,0.000957358
45,141.404,0.51339,0.35918,0.92664,0.97208,0.9661,0.97654,0.86133,0.39006,0.29782,0.86859,0.000940855,0.000940855,0.000940855
46,144.792,0.51114,0.35993,0.91652,0.97151,0.97458,0.98531,0.87022,0.38311,0.29229,0.87331,0.000924352,0.000924352,0.000924352
47,148.242,0.49648,0.34605,0.91252,0.9438,0.98752,0.98461,0.85833,0.3772,0.29564,0.87676,0.000907848,0.000907848,0.000907848
48,151.726,0.50029,0.35678,0.90626,0.95921,1,0.99258,0.876,0.40189,0.30922,0.88509,0.000891345,0.000891345,0.000891345
49,155.26,0.50699,0.3567,0.92236,0.98142,0.9661,0.98627,0.89027,0.39442,0.30356,0.87292,0.000874842,0.000874842,0.000874842
50,158.724,0.48587,0.34373,0.90619,0.96395,0.95434,0.96484,0.87025,0.36872,0.3059,0.85827,0.000858338,0.000858338,0.000858338
51,162.294,0.51678,0.35227,0.93067,0.97066,0.95362,0.98241,0.87822,0.39533,0.31484,0.90055,0.000841835,0.000841835,0.000841835
52,165.795,0.50066,0.3397,0.91967,0.97354,0.97581,0.99384,0.8771,0.38347,0.27165,0.87155,0.000825332,0.000825332,0.000825332
53,169.28,0.48349,0.33102,0.90375,0.97513,0.9536,0.9826,0.87419,0.42848,0.29606,0.89378,0.000808828,0.000808828,0.000808828
54,172.787,0.48367,0.32871,0.9022,0.99055,0.94915,0.98929,0.87705,0.38441,0.27697,0.8708,0.000792325,0.000792325,0.000792325
55,176.342,0.48079,0.33524,0.90964,0.97585,0.95589,0.97236,0.86262,0.39445,0.2822,0.8833,0.000775822,0.000775822,0.000775822
56,180.251,0.48452,0.32997,0.90562,0.97158,0.97458,0.9906,0.87533,0.44008,0.2947,0.92464,0.000759318,0.000759318,0.000759318
57,183.978,0.47868,0.32731,0.90166,0.9661,0.9661,0.97587,0.87873,0.41868,0.29531,0.87567,0.000742815,0.000742815,0.000742815
58,188.663,0.48079,0.3343,0.90692,0.98416,0.98083,0.99269,0.87486,0.37777,0.2634,0.87225,0.000726312,0.000726312,0.000726312
59,192.799,0.47805,0.32931,0.90721,0.98337,0.98305,0.99359,0.90122,0.35658,0.25765,0.86085,0.000709809,0.000709809,0.000709809
60,196.828,0.44044,0.3141,0.89478,0.97648,0.96731,0.98248,0.88221,0.36362,0.27097,0.85883,0.000693305,0.000693305,0.000693305
61,200.614,0.45079,0.31261,0.88482,0.96903,0.95763,0.98263,0.89797,0.34053,0.26055,0.85431,0.000676802,0.000676802,0.000676802
62,204.176,0.45917,0.30977,0.89038,0.96648,0.9661,0.97584,0.88547,0.36285,0.2668,0.86685,0.000660299,0.000660299,0.000660299
63,207.658,0.46003,0.3093,0.8947,0.99,0.98305,0.9943,0.88173,0.38632,0.26825,0.86415,0.000643795,0.000643795,0.000643795
64,211.04,0.46009,0.32013,0.90449,0.98123,0.99153,0.99459,0.9017,0.33999,0.23768,0.85883,0.000627292,0.000627292,0.000627292
65,214.58,0.44739,0.30304,0.90074,0.97413,0.97077,0.98617,0.8966,0.35632,0.26733,0.87557,0.000610789,0.000610789,0.000610789
66,218.255,0.45629,0.30784,0.89608,0.99239,0.95999,0.99154,0.88871,0.38972,0.27994,0.87428,0.000594286,0.000594286,0.000594286
